name,rank,gamesPlayed,averageScore,accuracy
jaleso0,1,1,1,0.3
egluyus1,2,2,2,0.3
adudderidge2,3,3,3,0.1
tgrigoletti3,4,4,4,0.2
clemaitre4,5,5,5,0.9
bszach5,6,6,6,0.2
ibridden6,7,7,7,0.4
ahollingsbee7,8,8,8,0.7
ofaulkener8,9,9,9,0.0
imaccorley9,10,10,10,0.8
fsilverlocka,11,11,11,0.1
clindsleyb,12,12,12,1.0
dtrehearnec,13,13,13,0.9
dedeld,14,14,14,0.5
itomete,15,15,15,0.9
ichungf,16,16,16,0.6
cwallikerg,17,17,17,0.3
jgibbinsh,18,18,18,0.1
fkibbeyi,19,19,19,0.7
ccroxfordj,20,20,20,0.2
jferyk,21,21,21,0.4
shanlonl,22,22,22,0.8
bgoarem,23,23,23,0.7
wstellmann,24,24,24,0.5
gdahlo,25,25,25,0.0
llawesp,26,26,26,0.4
bghiriardelliq,27,27,27,0.1
aethertonr,28,28,28,0.8
scasemores,29,29,29,0.8
sklamptt,30,30,30,0.4
scoullingu,31,31,31,0.5
bmunsonv,32,32,32,0.6
pheathw,33,33,33,0.2
disaksenx,34,34,34,0.5
trosenfruchty,35,35,35,0.8
rflemmichz,36,36,36,0.2
rsimonot10,37,37,37,0.1
ecawthera11,38,38,38,0.2
dprince12,39,39,39,0.1
crielly13,40,40,40,0.9
htuff14,41,41,41,0.3
ostampe15,42,42,42,0.2
ctitterrell16,43,43,43,0.1
tfarthin17,44,44,44,0.4
lluetchford18,45,45,45,0.9
kgolledge19,46,46,46,0.0
ncaffin1a,47,47,47,0.5
gkinnoch1b,48,48,48,0.9
erowan1c,49,49,49,0.6
eautie1d,50,50,50,0.8
touchterlony1e,51,51,51,0.4
fdugan1f,52,52,52,0.9
htrewhitt1g,53,53,53,0.5
rsalthouse1h,54,54,54,0.9
fbeaument1i,55,55,55,0.0
gstangoe1j,56,56,56,0.3
rfewster1k,57,57,57,0.8
lthandi1l,58,58,58,0.0
jbarsam1m,59,59,59,0.5
gmecco1n,60,60,60,0.3
sdenizet1o,61,61,61,0.5
lmcmurrugh1p,62,62,62,0.9
gavo1q,63,63,63,0.3
shadeke1r,64,64,64,0.0
rhugland1s,65,65,65,0.2
ahulburd1t,66,66,66,0.7
jrevington1u,67,67,67,0.6
mfortesquieu1v,68,68,68,0.5
scoskerry1w,69,69,69,0.7
mfrensch1x,70,70,70,0.2
bloton1y,71,71,71,0.8
thalliwell1z,72,72,72,0.4
ncaw20,73,73,73,1.0
rhowkins21,74,74,74,0.9
lauden22,75,75,75,0.9
dmclaggan23,76,76,76,0.8
yfryd24,77,77,77,0.5
mwilby25,78,78,78,0.8
narmour26,79,79,79,0.3
nclamp27,80,80,80,0.1
agalliver28,81,81,81,0.8
rbatteson29,82,82,82,0.5
rdood2a,83,83,83,0.7
acurtin2b,84,84,84,0.8
ajendrach2c,85,85,85,0.2
gscully2d,86,86,86,0.1
lboggish2e,87,87,87,0.2
lthomazin2f,88,88,88,0.1
lmaddock2g,89,89,89,0.9
abyford2h,90,90,90,0.8
uallatt2i,91,91,91,0.8
jdivell2j,92,92,92,0.6
rkunrad2k,93,93,93,0.8
fmcwhannel2l,94,94,94,0.5
rdeguara2m,95,95,95,0.2
abexon2n,96,96,96,0.6
crubinovitch2o,97,97,97,0.7
elenormand2p,98,98,98,0.6
afullom2q,99,99,99,0.3
bdundridge2r,100,100,100,0.0
kballinger2s,101,101,101,0.3
wdunthorne2t,102,102,102,0.8
dcollyer2u,103,103,103,0.1
tswanne2v,104,104,104,0.9
jhaylands2w,105,105,105,0.3
streske2x,106,106,106,0.2
wbarnish2y,107,107,107,0.1
smacconneely2z,108,108,108,0.8
crich30,109,109,109,0.7
cpetriello31,110,110,110,0.6
ldobie32,111,111,111,0.7
amuckle33,112,112,112,0.7
arosson34,113,113,113,0.3
kpithie35,114,114,114,0.3
ceuesden36,115,115,115,0.5
ogentry37,116,116,116,0.8
mgrist38,117,117,117,0.7
eamyes39,118,118,118,0.9
broelvink3a,119,119,119,0.2
aberceros3b,120,120,120,0.8
saveline3c,121,121,121,0.3
nmaciejak3d,122,122,122,0.7
amcmylor3e,123,123,123,0.0
npeachman3f,124,124,124,0.2
tkitchingman3g,125,125,125,0.0
mhowman3h,126,126,126,1.0
epeschke3i,127,127,127,0.4
krattery3j,128,128,128,0.2
rcrosfeld3k,129,129,129,0.1
gmaciaszek3l,130,130,130,0.4
mrumbelow3m,131,131,131,0.1
hboniface3n,132,132,132,0.7
lchellam3o,133,133,133,0.7
imatias3p,134,134,134,0.3
mkeith3q,135,135,135,0.4
hthorington3r,136,136,136,0.6
nroscrigg3s,137,137,137,0.1
gcavaney3t,138,138,138,0.7
ypieterick3u,139,139,139,0.6
nleif3v,140,140,140,0.2
tflook3w,141,141,141,0.8
aridoutt3x,142,142,142,0.9
lshoulder3y,143,143,143,0.5
eturmell3z,144,144,144,0.6
idreghorn40,145,145,145,0.1
doglassane41,146,146,146,0.3
hflather42,147,147,147,0.1
cmanis43,148,148,148,0.9
mwoodroof44,149,149,149,0.2
cshenton45,150,150,150,0.2
btowner46,151,151,151,0.7
llayhe47,152,152,152,0.8
brighy48,153,153,153,0.9
bmolfino49,154,154,154,0.4
zmacbain4a,155,155,155,1.0
galfuso4b,156,156,156,0.4
fausting4c,157,157,157,0.2
drutherford4d,158,158,158,0.8
breese4e,159,159,159,0.4
olifsey4f,160,160,160,1.0
csproson4g,161,161,161,0.7
binderwick4h,162,162,162,0.9
callcroft4i,163,163,163,0.3
sshenton4j,164,164,164,0.4
gmartinec4k,165,165,165,0.4
msertin4l,166,166,166,0.5
ddytham4m,167,167,167,0.2
cbromont4n,168,168,168,0.3
vskentelbery4o,169,169,169,0.4
wmantz4p,170,170,170,0.7
bnise4q,171,171,171,0.0
nelmes4r,172,172,172,1.0
gedwicke4s,173,173,173,0.8
jsearjeant4t,174,174,174,0.3
hpalfree4u,175,175,175,0.0
khof4v,176,176,176,0.0
adaventry4w,177,177,177,0.0
mlashmar4x,178,178,178,0.8
bmacalester4y,179,179,179,1.0
cathridge4z,180,180,180,0.0
jcasado50,181,181,181,0.3
ljoicey51,182,182,182,0.7
dringsell52,183,183,183,0.1
mblaxill53,184,184,184,0.6
lcattle54,185,185,185,0.1
tquartermain55,186,186,186,0.4
atheuss56,187,187,187,0.2
rmccerery57,188,188,188,0.4
tneave58,189,189,189,0.1
lhegdonne59,190,190,190,0.5
cpankhurst5a,191,191,191,0.5
amccallum5b,192,192,192,0.4
tpauletti5c,193,193,193,0.8
esiaskowski5d,194,194,194,0.8
vedwins5e,195,195,195,0.5
lchamberlayne5f,196,196,196,0.7
gdrover5g,197,197,197,0.4
sthow5h,198,198,198,0.9
mableson5i,199,199,199,0.3
ctoffolini5j,200,200,200,0.5
kmarling5k,201,201,201,0.0
lreyne5l,202,202,202,0.3
dfearnsides5m,203,203,203,0.3
opetraitis5n,204,204,204,0.6
jwallbridge5o,205,205,205,1.0
lvaudre5p,206,206,206,1.0
bwhalebelly5q,207,207,207,0.5
sdan5r,208,208,208,0.4
epennrington5s,209,209,209,0.1
aarrigo5t,210,210,210,0.8
dmayzes5u,211,211,211,0.4
birving5v,212,212,212,1.0
lwane5w,213,213,213,0.2
dbrazelton5x,214,214,214,0.5
amacdowall5y,215,215,215,0.1
ashearer5z,216,216,216,0.3
dmoncrefe60,217,217,217,0.7
cnorthin61,218,218,218,0.8
haspin62,219,219,219,0.8
msilly63,220,220,220,0.6
nlawlee64,221,221,221,0.7
ceastment65,222,222,222,0.4
ehouten66,223,223,223,0.0
ngutowska67,224,224,224,0.8
lelintune68,225,225,225,1.0
crablen69,226,226,226,0.9
ktartt6a,227,227,227,0.4
wsurfleet6b,228,228,228,0.9
cpartridge6c,229,229,229,0.4
chares6d,230,230,230,0.2
kflacke6e,231,231,231,0.6
abradburne6f,232,232,232,0.7
twinslade6g,233,233,233,0.2
ekalb6h,234,234,234,0.0
vwanek6i,235,235,235,0.1
eharwell6j,236,236,236,0.5
sogborn6k,237,237,237,0.1
pcatenot6l,238,238,238,0.5
cshave6m,239,239,239,0.3
dhollidge6n,240,240,240,0.9
mconechie6o,241,241,241,0.1
mpether6p,242,242,242,0.5
mpibsworth6q,243,243,243,0.1
ndehn6r,244,244,244,0.8
jobray6s,245,245,245,0.4
aferagh6t,246,246,246,0.8
tfranceschielli6u,247,247,247,0.9
tbaal6v,248,248,248,0.3
